Scheme,Description,Run #,Final Training PF: HV,Final Testing PF: HV,Final Training PF: Best Solution Error,Final Training PF: Best Solution Number of Features,Final Testing PF: Best Solution Error,Final Testing PF: Best Solution Number of Features
6,"Weights applied to top 50 features, one individual in initial population forced to have weights corresponding to MI",9,0.7919,0.7324,0.1132,36,0.1827,34
6,"Weights applied to top 50 features, one individual in initial population forced to have weights corresponding to MI",10,0.79,0.7306,0.1122,43,0.1884,41
7,Weights applied to top 50 features + 10 remaining features with highest MI,1,0.7984,0.7373,0.1092,38,0.1855,38
7,Weights applied to top 50 features + 10 remaining features with highest MI,2,0.7985,0.7394,0.1148,50,0.1862,50
7,Weights applied to top 50 features + 10 remaining features with highest MI,3,0.8055,0.7439,0.1136,38,0.1768,34
7,Weights applied to top 50 features + 10 remaining features with highest MI,4,0.7994,0.7385,0.1143,37,0.1881,32
7,Weights applied to top 50 features + 10 remaining features with highest MI,5,0.8017,0.7497,0.1137,40,0.1687,40
7,Weights applied to top 50 features + 10 remaining features with highest MI,6,0.8045,0.74,0.1117,43,0.1877,43
7,Weights applied to top 50 features + 10 remaining features with highest MI,7,0.8059,0.7525,0.1106,41,0.1806,34
7,Weights applied to top 50 features + 10 remaining features with highest MI,8,0.8028,0.7372,0.108,47,0.1934,47
7,Weights applied to top 50 features + 10 remaining features with highest MI,9,0.8029,0.736,0.1088,41,0.1868,41
7,Weights applied to top 50 features + 10 remaining features with highest MI,10,0.8067,0.7437,0.1142,41,0.1906,20
8,Weights applied to top 50 features + 10 remaining features with highest MIC,1,0.7869,0.7286,0.1092,43,0.1765,43
8,Weights applied to top 50 features + 10 remaining features with highest MIC,2,0.7837,0.7236,0.1168,37,0.1868,37
8,Weights applied to top 50 features + 10 remaining features with highest MIC,3,0.7875,0.7268,0.1175,37,0.1911,37
8,Weights applied to top 50 features + 10 remaining features with highest MIC,4,0.7873,0.7281,0.1099,44,0.1718,44
8,Weights applied to top 50 features + 10 remaining features with highest MIC,5,0.793,0.7329,0.1107,38,0.1836,36
8,Weights applied to top 50 features + 10 remaining features with highest MIC,6,0.7885,0.7319,0.1058,43,0.1741,43
8,Weights applied to top 50 features + 10 remaining features with highest MIC,7,0.7862,0.7312,0.1123,42,0.1861,23
8,Weights applied to top 50 features + 10 remaining features with highest MIC,8,0.793,0.7302,0.1133,35,0.1918,29
8,Weights applied to top 50 features + 10 remaining features with highest MIC,9,0.7858,0.7265,0.1128,46,0.179,40
8,Weights applied to top 50 features + 10 remaining features with highest MIC,10,0.7891,0.7259,0.1133,42,0.1871,42
